Id,Label,0,1,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
vise,vise,STRATEGIMORGENMØDE,,11,4,0.394707,0.424869,1084.617778
viden,viden,STRATEGIMORGENMØDE,,11,3,0.471736,0.516643,10302.880958
vej,vej,STRATEGIMORGENMØDE,,11,4,0.385801,0.415953,1573.39673
strategi,strategi,STRATEGIMORGENMØDE,,1,4,0.452258,0.497504,7825.291203
lang,lang,STRATEGIMORGENMØDE,,0,4,0.34549,0.369829,1774.489551
står,står,STRATEGIMORGENMØDE,,0,4,0.347718,0.367451,1509.599209
historie,historie,STRATEGI2024,,0,5,0.277954,0.291821,0
biblioteksfaglige,biblioteksfaglige,STRATEGI2024,,0,5,0.277954,0.291821,0
blevet,blevet,STRATEGI2024,,0,5,0.277954,0.291821,0
bredt,bredt,STRATEGIMORGENMØDE,,0,4,0.319799,0.340585,689.996903
dag,dag,STRATEGI2024,,0,5,0.277954,0.291821,0
forankret,forankret,STRATEGI2024,,0,5,0.277954,0.291821,0
universitetsbibliotek,universitetsbibliotek,STRATEGIMORGENMØDE,,6,4,0.390747,0.415597,519.920049
unik,unik,STRATEGIMORGENMØDE,,6,4,0.359487,0.381122,146.633553
tværs,tværs,STRATEGIMORGENMØDE,,9,4,0.423309,0.463029,4683.828357
stærke,stærke,STRATEGI2024,,6,3,0.396269,0.422254,333.773208
stigende,stigende,STRATEGI2024,,6,4,0.372081,0.394437,183.05222
service,service,STRATEGIMORGENMØDE,,6,3,0.428746,0.466476,3094.736533
samlinger,samlinger,STRATEGIMORGENMØDE,,4,4,0.421021,0.45554,2038.692641
nationalbibliotek,nationalbibliotek,STRATEGI2024,,6,4,0.341452,0.358892,0
verden,verden,STRATEGIMORGENMØDE,,6,4,0.392058,0.420946,916.055984
velfungerende,velfungerende,STRATEGI2024,,6,4,0.359856,0.377794,0
stor,stor,STRATEGIMORGENMØDE,,0,3,0.447066,0.489539,7731.229286
samarbejdspartner,samarbejdspartner,STRATEGIMORGENMØDE,,6,4,0.422799,0.459106,2141.87224
oplevelse,oplevelse,STRATEGIMORGENMØDE,,3,3,0.4008,0.427009,752.624015
tage,tage,STRATEGIMORGENMØDE,,6,4,0.437032,0.47884,5126.843585
landet,landet,STRATEGIMORGENMØDE,,15,4,0.42614,0.460889,3029.464683
inspirationssted,inspirationssted,STRATEGI2024,,6,4,0.366249,0.383143,0
hele,hele,STRATEGIMORGENMØDE,,6,4,0.460276,0.498573,6409.938301
brugere,brugere,STRATEGIMORGENMØDE,,15,3,0.453428,0.498573,9366.647255
afsæt,afsæt,STRATEGI2024,,6,4,0.366249,0.383143,0
kulturarv,kulturarv,STRATEGIMORGENMØDE,,1,4,0.408746,0.444484,2800.142314
indsamler,indsamler,STRATEGIMORGENMØDE,,1,4,0.359487,0.381122,87.437152
fælles,fælles,STRATEGIMORGENMØDE,,16,4,0.420012,0.452211,1926.45373
formidler,formidler,STRATEGIMORGENMØDE,,7,4,0.372278,0.398716,3722.809679
bevaring,bevaring,STRATEGIMORGENMØDE,,11,4,0.359856,0.380052,106.132236
skabe,skabe,STRATEGIMORGENMØDE,,15,4,0.45431,0.498336,6449.993197
rum,rum,STRATEGIMORGENMØDE,,14,4,0.400343,0.434261,3136.444102
levere,levere,STRATEGIMORGENMØDE,,15,4,0.413082,0.445316,1758.233181
inspirere,inspirere,STRATEGIMORGENMØDE,,15,4,0.400114,0.432477,1995.568999
forskningsinstitutioner,forskningsinstitutioner,STRATEGIMORGENMØDE,,15,4,0.424077,0.457798,2226.857012
fordybe,fordybe,STRATEGIMORGENMØDE,,10,4,0.387293,0.414408,731.282428
videnssamfund,videnssamfund,STRATEGIMORGENMØDE,,1,3,0.40827,0.434617,395.751322
fundament,fundament,STRATEGIMORGENMØDE,,6,4,0.387721,0.416191,1410.445739
demokratisk,demokratisk,STRATEGIMORGENMØDE,,15,4,0.388796,0.413814,262.575995
bidrag,bidrag,STRATEGIMORGENMØDE,,10,3,0.459672,0.503091,8579.327878
samfund,samfund,STRATEGIMORGENMØDE,,11,4,0.35015,0.369234,384.151017
forandring,forandring,STRATEGI2024,,11,4,0.329263,0.34427,0
yderligere,yderligere,STRATEGI2024,,1,4,0.349975,0.366619,0
videre,videre,STRATEGIMORGENMØDE,,9,4,0.386226,0.412387,439.929296
indsatser,indsatser,STRATEGIMORGENMØDE,,0,3,0.414548,0.446505,1588.602586
kalder,kalder,STRATEGI2024,,1,4,0.349975,0.366619,0
klima,klima,STRATEGI2024,,1,4,0.372674,0.394674,147.059722
løsninger,løsninger,STRATEGIMORGENMØDE,,2,4,0.390529,0.418212,733.665146
samarbejde,samarbejde,STRATEGIMORGENMØDE,,1,3,0.471736,0.516167,13495.310017
udvikle,udvikle,STRATEGIMORGENMØDE,,2,3,0.471419,0.516881,10622.882209
uanede,uanede,STRATEGI2024,,2,4,0.348236,0.365787,0
tilgå,tilgå,STRATEGIMORGENMØDE,,2,4,0.380771,0.406324,285.509967
teknologiske,teknologiske,STRATEGIMORGENMØDE,,2,4,0.385377,0.411436,228.007332
ny,ny,STRATEGIMORGENMØDE,,2,3,0.455195,0.497147,6911.826056
måde,måde,STRATEGIMORGENMØDE,,2,4,0.39382,0.423918,660.679091
mulighed,mulighed,STRATEGIMORGENMØDE,,4,4,0.418507,0.453281,1923.24891
information,information,STRATEGIMORGENMØDE,,2,4,0.388366,0.414883,358.275401
teknologi,teknologi,STRATEGIMORGENMØDE,,2,4,0.379946,0.407632,547.821261
kommercielle,kommercielle,STRATEGI2024,,2,4,0.358018,0.376248,0
kommer,kommer,STRATEGIMORGENMØDE,,12,4,0.428222,0.46612,5111.948515
interesser,interesser,STRATEGI2024,,2,4,0.358018,0.376248,0
imødekomme,imødekomme,STRATEGIMORGENMØDE,,2,4,0.378919,0.402758,217.033157
åben,åben,STRATEGI2024,,10,4,0.415284,0.446029,1015.557518
vigtig,vigtig,STRATEGIMORGENMØDE,,3,4,0.395375,0.422729,767.276372
data,data,STRATEGIMORGENMØDE,,10,3,0.437305,0.475036,3669.520693
del,del,STRATEGIMORGENMØDE,,15,4,0.405671,0.437114,1747.461257
finde,finde,STRATEGIMORGENMØDE,,8,4,0.397392,0.431883,1979.448548
forhold,forhold,STRATEGIMORGENMØDE,,4,3,0.421527,0.454589,2206.453208
stadighed,stadighed,STRATEGI2024,,11,4,0.363778,0.383143,0
mission,mission,STRATEGIMORGENMØDE,,9,4,0.389444,0.416667,440.8408
danmark,danmark,STRATEGIMORGENMØDE,,4,4,0.416024,0.450428,2532.297945
vision,vision,STRATEGIMORGENMØDE,,9,4,0.391183,0.420352,531.353674
sværere,sværere,STRATEGIMORGENMØDE,,11,4,0.330038,0.346648,0
stadig,stadig,STRATEGIMORGENMØDE,,11,4,0.330038,0.346648,0
navigere,navigere,STRATEGIMORGENMØDE,,11,4,0.357288,0.379339,221.72205
kulturelle,kulturelle,STRATEGIMORGENMØDE,,11,4,0.363024,0.385045,149.235735
fyrtårn,fyrtårn,STRATEGIMORGENMØDE,,11,4,0.339796,0.360794,148.461333
vidste,vidste,STRATEGIMORGENMØDE,,15,4,0.314915,0.330361,0
søger,søger,STRATEGIMORGENMØDE,,5,4,0.369726,0.397884,1560.674593
hjælpe,hjælpe,STRATEGIMORGENMØDE,,1,4,0.363589,0.383024,196.991228
ønsker,ønsker,STRATEGIMORGENMØDE,,10,3,0.447352,0.488825,6599.286185
professionelle,professionelle,STRATEGI2024,,10,4,0.334766,0.350689,0
private,private,STRATEGI2024,,10,4,0.334766,0.350689,0
grunde,grunde,STRATEGI2024,,10,4,0.354937,0.374584,56.80706
via,via,STRATEGIMORGENMØDE,,6,4,0.410422,0.437233,562.721584
udgangspunkt,udgangspunkt,STRATEGI2024,,6,4,0.336534,0.353067,0
national,national,STRATEGIMORGENMØDE,,6,3,0.464238,0.508084,8399.265517
lovgrundlag,lovgrundlag,STRATEGI2024,,6,4,0.336534,0.353067,0
indgåede,indgåede,STRATEGI2024,,6,4,0.336534,0.353067,0
samt,samt,STRATEGI2024,,15,4,0.403337,0.435212,1520.062185
gælder,gælder,STRATEGIMORGENMØDE,,12,4,0.386226,0.412506,857.220489
folkebiblioteker,folkebiblioteker,STRATEGIMORGENMØDE,,7,3,0.418757,0.455302,6985.929955
ydelser,ydelser,STRATEGIMORGENMØDE,,15,4,0.340126,0.357703,71.604733
målrettede,målrettede,STRATEGI2024,,15,5,0.292571,0.303733,0
niveau,niveau,STRATEGIMORGENMØDE,,8,4,0.365866,0.388017,246.063386
licensbelagte,licensbelagte,STRATEGI2024,,16,4,0.351378,0.369472,0
kulturarvsmaterialer,kulturarvsmaterialer,STRATEGIMORGENMØDE,,16,4,0.406141,0.437708,931.816928
fysisk,fysisk,STRATEGIMORGENMØDE,,16,3,0.461792,0.500951,5403.298465
forvalter,forvalter,STRATEGI2024,,16,4,0.351378,0.369472,0
universitet,universitet,STRATEGIMORGENMØDE,,6,4,0.415038,0.455659,6466.211722
universitetsbiblioteksservice,universitetsbiblioteksservice,STRATEGI2024,,6,5,0.29392,0.308916,0
roskilde,roskilde,STRATEGI2024,,6,5,0.29392,0.308916,0
københavns,københavns,STRATEGIMORGENMØDE,,6,4,0.341285,0.36436,364.267454
fuld,fuld,STRATEGI2024,,6,5,0.29392,0.308916,0
aarhus,aarhus,STRATEGI2024,,6,5,0.29392,0.308916,0
specifikke,specifikke,STRATEGI2024,,7,4,0.305447,0.320851,0
overcentral,overcentral,STRATEGIMORGENMØDE,,7,4,0.342285,0.362696,176.976255
grundlag,grundlag,STRATEGI2024,,7,4,0.330038,0.349382,117.061232
enten,enten,STRATEGI2024,,7,4,0.305447,0.320851,0
biblioteksmaterialer,biblioteksmaterialer,STRATEGI2024,,7,4,0.375469,0.400975,888.061277
aftaler,aftaler,STRATEGI2024,,7,4,0.305447,0.320851,0
udland,udland,STRATEGI2024,,7,5,0.278285,0.292273,0
lån,lån,STRATEGI2024,,7,5,0.278285,0.292273,0
indvandrere,indvandrere,STRATEGI2024,,7,5,0.278285,0.292273,0
indog,indog,STRATEGI2024,,7,5,0.278285,0.292273,0
fungerer,fungerer,STRATEGI2024,,7,5,0.278285,0.292273,0
flygtninge,flygtninge,STRATEGI2024,,7,5,0.278285,0.292273,0
depotbibliotek,depotbibliotek,STRATEGIMORGENMØDE,,7,4,0.34262,0.364123,1202.194839
uden,uden,STRATEGIMORGENMØDE,,10,4,0.376477,0.399786,86.894721
ophavsretligt,ophavsretligt,STRATEGI2024,,16,4,0.367593,0.389444,37.353967
materiale,materiale,STRATEGIMORGENMØDE,,8,3,0.481787,0.53067,15620.348506
digital,digital,STRATEGIMORGENMØDE,,16,4,0.437578,0.479078,4656.804069
både,både,STRATEGIMORGENMØDE,,9,4,0.39943,0.427722,575.926768
adgang,adgang,STRATEGIMORGENMØDE,,16,4,0.428484,0.459225,1021.910326
aviser,aviser,STRATEGI2024,,16,4,0.349975,0.367095,0
billede,billede,STRATEGIMORGENMØDE,,16,4,0.354757,0.374941,592.407306
udstillinger,udstillinger,STRATEGI2024,,7,4,0.303201,0.318592,0
koncerter,koncerter,STRATEGI2024,,7,4,0.303201,0.318592,0
form,form,STRATEGIMORGENMØDE,,12,4,0.361154,0.385758,1147.747606
foredrag,foredrag,STRATEGI2024,,7,4,0.303201,0.318592,0
mål,mål,STRATEGIMORGENMØDE,,1,4,0.41976,0.454113,1643.726349
underliggende,underliggende,STRATEGI2024,,1,4,0.357836,0.376129,0
tre,tre,STRATEGIMORGENMØDE,,9,4,0.409702,0.445911,2200.735149
strategisk,strategisk,STRATEGIMORGENMØDE,,1,3,0.453722,0.495007,5853.545996
retning,retning,STRATEGI2024,,1,4,0.357836,0.376129,0
kulturinstitution,kulturinstitution,STRATEGI2024,,6,4,0.357288,0.373157,0
fortsætte,fortsætte,STRATEGI2024,,6,4,0.376679,0.398478,122.631806
efterspurgt,efterspurgt,STRATEGI2024,,6,4,0.357288,0.373157,0
leverandør,leverandør,STRATEGIMORGENMØDE,,1,4,0.377287,0.401094,122.374015
lokal,lokal,STRATEGIMORGENMØDE,,6,4,0.425106,0.464456,3343.120228
bibliotekspartner,bibliotekspartner,STRATEGIMORGENMØDE,,10,4,0.368172,0.38873,99.360455
fællesskab,fællesskab,STRATEGI2024,,14,4,0.368753,0.39194,154.292118
bøger,bøger,STRATEGI2024,,7,4,0.358018,0.37601,0
computerspil,computerspil,STRATEGI2024,,7,4,0.358018,0.37601,0
vidt,vidt,STRATEGI2024,,2,4,0.32529,0.341774,0
nemt,nemt,STRATEGIMORGENMØDE,,2,4,0.358384,0.37922,74.5513
muligt,muligt,STRATEGIMORGENMØDE,,2,4,0.353327,0.376129,202.70529
hurtigere,hurtigere,STRATEGIMORGENMØDE,,2,4,0.39493,0.423443,548.011471
forventning,forventning,STRATEGIMORGENMØDE,,2,4,0.362274,0.388017,749.87294
materialeforvaltning,materialeforvaltning,STRATEGIMORGENMØDE,,15,4,0.360411,0.382192,53.543266
konstant,konstant,STRATEGI2024,,15,4,0.350675,0.369472,0
forbedre,forbedre,STRATEGIMORGENMØDE,,15,4,0.414793,0.446386,1021.961462
fokus,fokus,STRATEGIMORGENMØDE,,15,4,0.377491,0.403947,602.272817
derfor,derfor,STRATEGIMORGENMØDE,,15,4,0.396718,0.424394,431.914161
væsentlig,væsentlig,STRATEGI2024,,16,4,0.378305,0.401331,71.939532
arbejde,arbejde,STRATEGIMORGENMØDE,,4,3,0.471736,0.515216,11874.369376
bagvedliggende,bagvedliggende,STRATEGIMORGENMØDE,,4,4,0.370312,0.393367,114.183377
forsat,forsat,STRATEGI2024,,16,4,0.356199,0.374822,0
fortsat,fortsat,STRATEGIMORGENMØDE,,16,3,0.434056,0.471232,4025.208286
værdi,værdi,STRATEGIMORGENMØDE,,15,4,0.406849,0.436519,600.270419
omsat,omsat,STRATEGI2024,,15,4,0.361713,0.38029,0
let,let,STRATEGIMORGENMØDE,,2,4,0.372081,0.394199,90.459363
vakt,vakt,STRATEGI2024,,8,4,0.33207,0.350214,0
undervejs,undervejs,STRATEGI2024,,8,4,0.33207,0.350214,0
nysgerrighed,nysgerrighed,STRATEGI2024,,8,4,0.33207,0.350214,0
leder,leder,STRATEGI2024,,8,4,0.33207,0.350214,0
kræver,kræver,STRATEGI2024,,8,4,0.33207,0.350214,0
får,får,STRATEGIMORGENMØDE,,8,4,0.368366,0.3898,352.848391
øge,øge,STRATEGIMORGENMØDE,,0,3,0.431119,0.467665,4514.229302
styrke,styrke,STRATEGI2024,,0,3,0.445362,0.480029,3632.056754
løbende,løbende,STRATEGIMORGENMØDE,,3,4,0.382433,0.409296,935.255002
indgang,indgang,STRATEGI2024,,8,4,0.369336,0.391465,252.242858
ensarte,ensarte,STRATEGI2024,,0,4,0.349104,0.367214,0
tilsvarende,tilsvarende,STRATEGI2024,,5,4,0.339303,0.356396,0
størrelse,størrelse,STRATEGI2024,,5,4,0.339303,0.356396,0
samtidig,samtidig,STRATEGIMORGENMØDE,,2,4,0.419509,0.452449,2360.850908
opgave,opgave,STRATEGIMORGENMØDE,,5,4,0.406377,0.443295,5257.714774
løfte,løfte,STRATEGI2024,,5,4,0.362836,0.383856,119.210754
kraft,kraft,STRATEGI2024,,5,4,0.339303,0.356396,0
undersøge,undersøge,STRATEGIMORGENMØDE,,4,4,0.375268,0.40145,1095.322864
tilgængelig,tilgængelig,STRATEGI2024,,4,4,0.34549,0.364123,0
berige,berige,STRATEGI2024,,4,4,0.34549,0.364123,0
beskyttelse,beskyttelse,STRATEGI2024,{'beskyttet': {'attr3': 'STRATEGI2024'}},16,4,0.372081,0.394674,118.641064
selvstændige,selvstændige,STRATEGI2024,,8,4,0.332385,0.350333,0
reducere,reducere,STRATEGIMORGENMØDE,,8,4,0.354578,0.37601,179.241613
nemmere,nemmere,STRATEGI2024,,8,4,0.332385,0.350333,0
gøre,gøre,STRATEGIMORGENMØDE,,4,3,0.467957,0.514265,10449.422417
formidlingsløsninger,formidlingsløsninger,STRATEGI2024,,8,4,0.332385,0.350333,0
uhindret,uhindret,STRATEGI2024,,15,4,0.343627,0.360556,0
give,give,STRATEGIMORGENMØDE,,15,4,0.449071,0.484189,4239.02344
vanskelige,vanskelige,STRATEGI2024,,11,4,0.337344,0.353543,0
datastandarder,datastandarder,STRATEGI2024,,11,4,0.337344,0.353543,0
formater,formater,STRATEGI2024,,11,4,0.337344,0.353543,0
forældes,forældes,STRATEGI2024,,11,4,0.337344,0.353543,0
går,går,STRATEGIMORGENMØDE,,11,3,0.463931,0.50214,9120.687724
sikre,sikre,STRATEGI2024,,1,4,0.374066,0.396814,158.731548
relevant,relevant,STRATEGI2024,,1,4,0.339467,0.356871,0
prioriteret,prioriteret,STRATEGI2024,,1,4,0.349626,0.370542,148.897982
partnerskab,partnerskab,STRATEGIMORGENMØDE,,1,4,0.372674,0.395269,245.80482
understøtte,understøtte,STRATEGIMORGENMØDE,,1,3,0.44821,0.488588,6340.426581
driften,driften,STRATEGI2024,,9,4,0.336534,0.353067,0
egne,egne,STRATEGI2024,,9,4,0.336534,0.353067,0
henblik,henblik,STRATEGI2024,,9,4,0.336534,0.353067,0
hjemlånssamlingerne,hjemlånssamlingerne,STRATEGI2024,,9,4,0.336534,0.353067,0
opdatere,opdatere,STRATEGI2024,,16,4,0.35015,0.368165,0
håndtering,håndtering,STRATEGIMORGENMØDE,,4,4,0.367786,0.390514,175.962492
fremtidssikre,fremtidssikre,STRATEGI2024,,16,4,0.35015,0.368165,0
række,række,STRATEGI2024,,15,4,0.361154,0.379339,0
transformation,transformation,STRATEGI2024,,15,4,0.357106,0.375773,0
særlig,særlig,STRATEGIMORGENMØDE,,0,4,0.404035,0.434379,2173.272367
synergier,synergier,STRATEGI2024,,15,4,0.357106,0.375773,0
samlede,samlede,STRATEGI2024,,15,4,0.357106,0.375773,0
aktør,aktør,STRATEGI2024,,10,4,0.34549,0.361626,0
biblioteksaktører,biblioteksaktører,STRATEGI2024,,10,4,0.34549,0.361626,0
